shortName	gemma_term	gemma_uri	gpt_cell_lines	gpt_term	gpt_term_id	basic_match	specific	sensitive
GSE45157	HeLa cell	http://purl.obolibrary.org/obo/CLO_0003684	HeLa|||mouse embryonic stem cells	HeLa|||mouse embryonic stem cells	EFO:0001185|||EFO:0004038	FALSE	FALSE	FALSE
GSE16192	MN9D	http://www.ebi.ac.uk/efo/EFO_0006455	MN9D	MN9D	EFO:0006455	TRUE	TRUE	TRUE
GSE115761	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF-7	MCF-7	EFO:0001203	FALSE	FALSE	FALSE
GSE15550	PANC-1 cell|||CFPAC-1 cell|||BxPC-3 cell|||AsPC-1 cell	http://purl.obolibrary.org/obo/CLO_0008381|||http://purl.obolibrary.org/obo/CLO_0002395|||http://purl.obolibrary.org/obo/CLO_0002065|||http://purl.obolibrary.org/obo/CLO_0001756		L3.6pl|||BxPC3|||CFPAC|||SU8686|||Panc-1|||Hs766T|||AsPC1|||MIAPaca-2|||Mpanc 96|||HPDE		FALSE	FALSE	FALSE
GSE207319	MIA PaCa-2 cell	http://purl.obolibrary.org/obo/CLO_0007726	MiaPaCa-2	MIA PaCa-2 cell	CLO:0007726	TRUE	TRUE	TRUE
GSE113801	immortal human lymphocyte cell line cell	http://purl.obolibrary.org/obo/CLO_0000468	immortalized B lymphocyte cell lines	immortalized B lymphocyte cell lines	CLO:0000119	FALSE	FALSE	FALSE
GSE20185	FaDu cell|||HEK293|||Detroit 562 cell	http://purl.obolibrary.org/obo/CLO_0002993|||http://purl.obolibrary.org/obo/CLO_0001230|||http://purl.obolibrary.org/obo/CLO_0002752	FaDu|||Detroit-562|||HEK	FaDu|||Detroit-562|||HEK	EFO:0002178|||EFO:0002170|||EFO:0022425	FALSE	FALSE	FALSE
GSE245824	MDA-MB-231 cell	http://purl.obolibrary.org/obo/CLO_0007634	MDA-MB-231	MDA-MB-231	CLO:0007634	TRUE	TRUE	TRUE
GSE108620	V6.5	http://www.ebi.ac.uk/efo/EFO_0006308	V6.5|||ctnnb1-BF|||B6.129-Ctnnb1tm2Kem/KnwJ	V6.5|||ctnnb1-BF|||B6.129-Ctnnb1tm2Kem/KnwJ	EFO:0006308	TRUE	FALSE	TRUE
GSE172475	M14	http://www.ebi.ac.uk/efo/EFO_0003056	M14|||MUN14	M14|||MUN14	CLO:0051344|||CLO:0051311	FALSE	FALSE	FALSE
GSE5741	ARPE-19 cell	http://purl.obolibrary.org/obo/CLO_0001749	ARPE-19	ARPE-19	EFO:0006271	FALSE	FALSE	FALSE
GSE7201	BJ cell	http://purl.obolibrary.org/obo/CLO_0001980	BJ-TE	BJ-TE	CLO:0037212	FALSE	FALSE	FALSE
GSE57433	HEK293	http://purl.obolibrary.org/obo/CLO_0001230	HEK293	HEK293-T-REx	CLO:0037238	FALSE	FALSE	FALSE
GSE172459	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	AG|||JK	AG|||JK	CLO:0000098|||CLO:0000098	FALSE	FALSE	FALSE
GSE272332	H9	http://www.ebi.ac.uk/efo/EFO_0003045	H9|||EXT1-/-	H9|||EXT1-/-	EFO:0003045|||EFO:0003045	TRUE	TRUE	TRUE
GSE270880	Schwann cell|||malignant peripheral nerve sheath tumor	http://purl.obolibrary.org/obo/CL_0002573|||http://purl.obolibrary.org/obo/MONDO_0017827	ipNF05.5|||MPNST8814|||sNF96.2	ipNF05.5|||MPNST8814|||sNF96.2	EFO:0006304|||EFO:0006304|||EFO:0006304	FALSE	FALSE	FALSE
GSE66417	T-cell leukemia|||Hodgkins lymphoma|||L-540 cell|||JURKAT cell	http://purl.obolibrary.org/obo/MONDO_0005525|||http://purl.obolibrary.org/obo/MONDO_0004952|||http://purl.obolibrary.org/obo/CLO_0007201|||http://purl.obolibrary.org/obo/CLO_0007043	Jurkat|||L540	Jurkat|||L540	EFO:0002796|||EFO:0022416	FALSE	FALSE	FALSE
GSE225148	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	Human iPSCs	Human iPSCs	EFO:0004905	FALSE	FALSE	FALSE
GSE248599	D283 Med cell	http://purl.obolibrary.org/obo/CLO_0002673	D283_Med	D283	EFO:0002156	FALSE	FALSE	FALSE
GSE80161	A549 cell|||LL24 cell|||HFL1 cell	http://purl.obolibrary.org/obo/CLO_0001601|||http://purl.obolibrary.org/obo/CLO_0007326|||http://purl.obolibrary.org/obo/CLO_0003734	A549|||16HBE14o-|||CCL-153|||CCL-151	A549|||16HBE14o-|||CCL-153|||CCL-151	EFO:0001086|||CLO:0003623|||EFO:0002835|||EFO:0002835	FALSE	FALSE	FALSE
GSE246587	HEK293T cell	http://purl.obolibrary.org/obo/CLO_0037372	HEK293T	HEK293T	CLO:0037372	TRUE	TRUE	TRUE
GSE151477	immortal retina-derived cell line cell	http://purl.obolibrary.org/obo/CLO_0000358	rMC-1|||RPE-J	rMC-1|||RPE-J	CLO:0000329|||CLO:0008866	FALSE	FALSE	FALSE
GSE62033	Neuro-2a cell	http://purl.obolibrary.org/obo/CLO_0008154	Neuro 2A (N2A)	Neuro-2a	EFO:0022756	FALSE	FALSE	FALSE
GSE165325	HCT 116 cell	http://purl.obolibrary.org/obo/CLO_0003665	HCT-116	HCT-116	EFO:0002824	FALSE	FALSE	FALSE
GSE125217	C2 cell|||induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0002105|||http://purl.obolibrary.org/obo/CLO_0037307	iPSC-ECs	iPSC derived cell line	EFO:0005740	FALSE	FALSE	FALSE
GSE104513	immortal|||thyrotroph|||gonadtroph|||embryonic fibroblast	http://purl.obolibrary.org/obo/PATO_0001991|||http://purl.obolibrary.org/obo/CL_0000476|||http://purl.obolibrary.org/obo/CL_0000437|||http://purl.obolibrary.org/obo/CL_2000042	aT1-1|||aT3-1|||LbT2|||TaT1|||NIH-3T3	aT1-1|||aT3-1|||LbT2|||TaT1|||NIH-3T3	CLO:0000061|||EFO:0022819|||EFO:0002070|||CLO:0000720|||EFO:0001222	FALSE	FALSE	FALSE
GSE53975	MCF7 cell|||MDA-MB-231 cell	http://purl.obolibrary.org/obo/CLO_0007606|||http://purl.obolibrary.org/obo/CLO_0007634	MCF-7|||MDA-MB-231	MCF-7|||MDA-MB-231	EFO:0001203|||CLO:0007634	TRUE	FALSE	FALSE
GSE159740	immortal human brain-derived cell line cell	http://purl.obolibrary.org/obo/CLO_0000517	HAL1|||HAL4|||HAL8|||KNS42	HAL1|||HAL4|||HAL8|||KNS42	EFO:0022357|||EFO:0022357|||EFO:0022357|||CLO:0009894	FALSE	FALSE	FALSE
GSE31534	A-375 cell	http://purl.obolibrary.org/obo/CLO_0001582	A375	A375	EFO:0002103	FALSE	FALSE	FALSE
GSE40406	HEK293T cell|||HEK293	http://purl.obolibrary.org/obo/CLO_0037372|||http://purl.obolibrary.org/obo/CLO_0001230	HEK293T	HEK293T	CLO:0037372	TRUE	TRUE	FALSE
GSE103515	HEK293	http://purl.obolibrary.org/obo/CLO_0001230	HEK|||NHA	HEK|||NHA	EFO:0001182|||EFO:0002777	FALSE	FALSE	FALSE
GSE9412	HT-29 cell	http://purl.obolibrary.org/obo/CLO_0004283	HT29 sensitive|||HT29 resistant	HT29 sensitive|||HT29 resistant	EFO:0001193|||EFO:0001193	FALSE	FALSE	FALSE
GSE245323	GM23338	http://www.ebi.ac.uk/efo/EFO_0007950	PGP1 iPSC line	PGP1 iPSC line	EFO:0007950	TRUE	TRUE	TRUE
GSE11791	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF-7|||pΔMT-c-Myc|||pΔMT-c-Zip|||pΔMT	MCF-7	EFO:0001203	FALSE	FALSE	FALSE
GSE229160	hTERT RPE-1 cell	http://purl.obolibrary.org/obo/CLO_0004290	hTERT-RPE1	hTERT-RPE1	EFO:0022539	FALSE	FALSE	FALSE
GSE56005	A549 cell	http://purl.obolibrary.org/obo/CLO_0001601	A549	A549	EFO:0001086	FALSE	FALSE	FALSE
GSE131697	human induced pluripotent stem cell line cell|||H9 ES cell|||embryonic stem cell|||H9 cell	http://purl.obolibrary.org/obo/CLO_0037308|||http://purl.obolibrary.org/obo/CLO_0037313|||http://purl.obolibrary.org/obo/CL_0002322|||http://purl.obolibrary.org/obo/CLO_0003612	H9|||RBRC-HPS0331 610B1 from RIKEN|||RBRC-HPS0328 606A1 from RIKEN	H9|||RBRC-HPS0331 610B1 from RIKEN|||RBRC-HPS0328 606A1 from RIKEN	EFO:0003045|||CLO:0050640|||CLO:0050637	FALSE	FALSE	FALSE
GSE13712	HUV-EC-C cell	http://purl.obolibrary.org/obo/CLO_0004307	HUVEC	HUVEC	EFO:0002451	FALSE	FALSE	FALSE
GSE90711	immortal human brain-derived cell line cell|||neuroblastoma	http://purl.obolibrary.org/obo/CLO_0000517|||http://purl.obolibrary.org/obo/MONDO_0005072	Primary Schwann cells|||Primary fibroblasts|||Neuroblastoma cell lines	Primary Schwann cells|||Primary fibroblasts|||Neuroblastoma cell lines	CL:0002573|||CLO:0037301|||EFO:0022502	FALSE	FALSE	FALSE
GSE5422	NCCIT cell	http://purl.obolibrary.org/obo/CLO_0007955	NCCIT	NCCIT	EFO:0022438	FALSE	FALSE	FALSE
GSE138309	D3 cell	http://purl.obolibrary.org/obo/CLO_0002675	hCMEC/D3	hCMEC/D3		FALSE	FALSE	FALSE
GSE21305	SH-SY5Y cell	http://purl.obolibrary.org/obo/CLO_0009015	SH-SY5Y	SH-SY5Y	CLO:0009015	TRUE	TRUE	TRUE
GSE23334	HeLa cell	http://purl.obolibrary.org/obo/CLO_0003684	HeLa	HeLa	CLO:0003684	TRUE	TRUE	TRUE
GSE27159	JoMa1 cell|||immortal neuronal stem cell line cell	http://purl.obolibrary.org/obo/CLO_0000051	JoMa1|||Derived from JoMa1-MYCN-induced tumor	C17.2 cell|||C17.2 cell	CLO:0037251|||CLO:0037251	FALSE	FALSE	FALSE
GSE168870	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	iPSC-derived brain endothelial cells|||iCell(R) Neurons|||Primary human astrocytes|||Primary human brain pericytes|||Primary human brain microglia	iPSC-derived brain endothelial cells|||iCell(R) Neurons|||Primary human astrocytes|||Primary human brain pericytes|||Primary human brain microglia	EFO:0005740|||CL:0000700|||CL:0000127|||CL:0000669|||CL:0000129	FALSE	FALSE	FALSE
GSE171183	AML12 cell	http://purl.obolibrary.org/obo/CLO_0001716	AML12	AML12	CLO:0001716	TRUE	TRUE	TRUE
GSE178738	NCI-H82 cell|||cell co-culturing|||NCI-H69 cell	http://purl.obolibrary.org/obo/CLO_0008118|||http://purl.obolibrary.org/obo/OBI_0000153|||http://purl.obolibrary.org/obo/CLO_0008105	NCI-H69|||NCI-H82	NCI-H69|||NCI-H82	EFO:0002300|||EFO:0002306	FALSE	FALSE	FALSE
GSE127502	Neuro-2a cell|||RCB2202 cell	http://purl.obolibrary.org/obo/CLO_0008154|||http://purl.obolibrary.org/obo/CLO_0050894	Neuro-2a|||293T	Neuro-2a|||293T	EFO:0022756|||EFO:0001082	FALSE	FALSE	FALSE
GSE228188	lymphoblastoid cell line	http://www.ebi.ac.uk/efo/EFO_0005292	721.221|||NK cells	721.221	EFO:0022350	FALSE	FALSE	FALSE
GSE147186	immortal rat neuron cell line cell	http://purl.obolibrary.org/obo/CLO_0000664	50B11	RCB2108 cell	CLO:0050267	FALSE	FALSE	FALSE
GSE110497	GM25256|||induced pluripotent stem cell line cell	http://www.ebi.ac.uk/efo/EFO_0009747|||http://purl.obolibrary.org/obo/CLO_0037307	NC5|||PAU|||WTC	NC5|||PAU|||WTC	EFO:0007103|||EFO:0007109|||EFO:0009747	TRUE	FALSE	FALSE
GSE102352	human fibroblast-induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037320	GM01835	iPS DF 19.11	EFO:0007096	FALSE	FALSE	FALSE
GSE102791	SUDHL10|||Raji cell	http://www.ebi.ac.uk/efo/EFO_0002354|||http://purl.obolibrary.org/obo/CLO_0008734	SUDHL2|||SUDHL10|||Raji	SUDHL2|||SUDHL10|||Raji	EFO:0007611|||EFO:0002354|||EFO:0002324	TRUE	FALSE	FALSE
GSE133097	induced pluripotent stem cell line cell|||HEK293T cell	http://purl.obolibrary.org/obo/CLO_0037307|||http://purl.obolibrary.org/obo/CLO_0037372	293T|||TJ-1# nESCs	293T|||TJ-1# nESCs	EFO:0001082|||EFO:0005916	FALSE	FALSE	FALSE
GSE110031	immortal neural cell line cell	http://purl.obolibrary.org/obo/CLO_0000156	N2A	Neuro-2a	EFO:0022756	FALSE	FALSE	FALSE
GSE42662	spherical neural mass derived from ES-D3 cells|||ES-D3 cell	http://purl.obolibrary.org/obo/CLO_0002950	D3 embryonic stem cells	ES-D3	EFO:0005910	FALSE	FALSE	FALSE
GSE157138	mouse embryonic stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037317	E14TG2a	E14TG2a	EFO:0006275	FALSE	FALSE	FALSE
GSE111960	U-2 OS cell	http://purl.obolibrary.org/obo/CLO_0009454	U2OS	U2OS	EFO:0002869	FALSE	FALSE	FALSE
GSE10896	U937(CD59+) cell	http://purl.obolibrary.org/obo/CLO_0009466	U937	U937	CLO:0009465	FALSE	FALSE	FALSE
GSE274859	BV-2	http://www.ebi.ac.uk/efo/EFO_0022792	BV-2	BV-2	EFO:0022792	TRUE	TRUE	TRUE
GSE44729	BEAS-2B	http://www.ebi.ac.uk/efo/EFO_0001089	BEAS-2B	BEAS-2B	CLO:0001925	FALSE	FALSE	FALSE
GSE190294	spheroid|||human ovarian cancer cell line cell	http://purl.obolibrary.org/obo/PATO_0001865|||http://purl.obolibrary.org/obo/CLO_0037296	iOvCa147|||OVCAR8|||TOV1946	iOvCa147|||OVCAR8|||TOV1946	EFO:0005444	FALSE	FALSE	FALSE
GSE187436	induced pluripotent stem cell line cell|||astrocyte|||immortal cell line cell	http://purl.obolibrary.org/obo/CLO_0037307|||http://purl.obolibrary.org/obo/CL_0000127|||http://purl.obolibrary.org/obo/CLO_0000019	WT-C11|||iAstro|||Astrostim|||OptoNeuron	WT-C11|||iAstro|||Astrostim|||OptoNeuron	EFO:0009747|||EFO:0007105|||EFO:0007106|||CLO:0037299	FALSE	FALSE	FALSE
GSE80395	HeLa cell	http://purl.obolibrary.org/obo/CLO_0003684	HeLa	HeLa	CLO:0003684	TRUE	TRUE	TRUE
GSE13673	HL-60 cell	http://purl.obolibrary.org/obo/CLO_0003775	HL60	HL-60	EFO:0002793	FALSE	FALSE	FALSE
GSE155244	embryonic stem cell|||H9 ES cell	http://purl.obolibrary.org/obo/CL_0002322|||http://purl.obolibrary.org/obo/CLO_0037313	H9 embryonic stem cells|||H7 embryonic stem cells	H9 embryonic stem cells|||H7 embryonic stem cells	EFO:0003045|||EFO:0005904	FALSE	FALSE	FALSE
GSE221187	R1 cell	http://purl.obolibrary.org/obo/CLO_0008697	R1	R1	EFO:0002076	FALSE	FALSE	FALSE
GSE61368	ZR-75-1 cell	http://purl.obolibrary.org/obo/CLO_0009727	ZR-75-1	ZR-75-1	CLO:0009727	TRUE	TRUE	TRUE
GSE137800	human embryonic stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037280	hESC|||hESC-derived neural progenitor cells	hESC|||hESC-derived neural progenitor cells	EFO:0003045|||EFO:0002968	FALSE	FALSE	FALSE
GSE444	Caco-2 cell	http://purl.obolibrary.org/obo/CLO_0002172				FALSE	TRUE	FALSE
GSE37282	immortal neuronal stem cell line cell	http://purl.obolibrary.org/obo/CLO_0000051	SPC-01|||SPC-04|||SPC-06	SPC-01|||SPC-04|||SPC-06	CLO:0000051|||CLO:0000051|||CLO:0000051	TRUE	TRUE	TRUE
GSE153550	RCB1279 cell	http://purl.obolibrary.org/obo/CLO_0050271	TtT/GF	TtT/GF	CLO:0050271	TRUE	TRUE	TRUE
GSE42120	LbetaT2	http://www.ebi.ac.uk/efo/EFO_0002070	L-beta-T2	L-beta-T2	EFO:0002070	TRUE	TRUE	TRUE
GSE8562	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7/XBP1|||MCF7/c	MCF7/XBP1|||MCF7/c	CLO:0037362|||CLO:0037362	FALSE	FALSE	FALSE
GSE243933	BJ cell	http://purl.obolibrary.org/obo/CLO_0001980	hiF-T	hiF-T	EFO:0009318	FALSE	FALSE	FALSE
GSE242328	neuronal stem cell|||glioblastoma|||induced pluripotent stem cell line cell|||stem cell line cell	http://purl.obolibrary.org/obo/CL_0000047|||http://purl.obolibrary.org/obo/MONDO_0018177|||http://purl.obolibrary.org/obo/CLO_0037307|||http://purl.obolibrary.org/obo/CLO_0037224	GIC19|||NSC19	GIC19|||NSC19	CL:0000030|||CL:0000047	TRUE	FALSE	FALSE
GSE48330	U-2 OS cell	http://purl.obolibrary.org/obo/CLO_0009454	U2 Osteosarcoma (U2Os) Cells	U2 Ostesarcoma (U2Os) Cells	EFO:0002869	FALSE	FALSE	FALSE
GSE104872	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF-7	EFO:0001203	FALSE	FALSE	FALSE
GSE140882	HT cell	http://purl.obolibrary.org/obo/CLO_0004265	HBL-1|||HT	HBL-1|||HT	EFO:0022408|||EFO:0006499	FALSE	FALSE	FALSE
GSE137975	Tumor-derived cell line|||embryonic stem cell line cell|||neural crest cell|||neuroblastoma cell line	http://purl.obolibrary.org/obo/CLO_0036938|||http://purl.obolibrary.org/obo/CLO_0037279|||http://purl.obolibrary.org/obo/CL_0011012|||http://www.ebi.ac.uk/efo/EFO_0005214	human ESC derived neural crest stem cells (NCSCs)	human ESC derived neural crest stem cells (NCSCs)	CL:0011012	TRUE	TRUE	FALSE
GSE12922	induced pluripotent stem cell|||embryonic stem cell|||fibroblast	http://www.ebi.ac.uk/efo/EFO_0004905|||http://purl.obolibrary.org/obo/CL_0002322|||http://purl.obolibrary.org/obo/CL_0000057	hFSF|||hAFF|||H1|||H7|||iPS cell lines	hFSF|||hAFF|||H1|||H7|||iPS cell lines	CL:1001608|||CLO:0037302|||EFO:0003042|||EFO:0005904|||EFO:0004905	TRUE	FALSE	FALSE
GSE223536	AsPC-1 cell	http://purl.obolibrary.org/obo/CLO_0001756	AsPC-1_SB3|||AsPC-1_control	AsPC-1_SB3|||AsPC-1_control	CLO:0001756|||CLO:0001756	TRUE	TRUE	TRUE
GSE2292	U-2 OS cell	http://purl.obolibrary.org/obo/CLO_0009454	U2OS-ERa|||U2OS-ERb|||U2OS-ERab	U2OS-ERa|||U2OS-ERb|||U2OS-ERab	EFO:0002869|||EFO:0002869|||EFO:0002869	FALSE	FALSE	FALSE
GSE279115	MDAMB231 cell	http://purl.obolibrary.org/obo/CLO_0037291	MDA-MB-231/RR	MDA-MB-231	CLO:0007634	FALSE	FALSE	FALSE
GSE25746	HPAM1|||HPAF1	http://www.ebi.ac.uk/efo/EFO_0006280|||http://www.ebi.ac.uk/efo/EFO_0006279	HPAF1|||HPAM1	HPAF1|||HPAM1	EFO:0006279|||EFO:0006280	TRUE	TRUE	TRUE
GSE81217	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF7	EFO:0001203	FALSE	FALSE	FALSE
GSE31163	human fibroblast-induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037320	hiPSC|||Fibroblast	hiPSC|||Fibroblast	EFO:0004905|||CL:0000057	FALSE	FALSE	FALSE
GSE37820	MCF7 cell	http://purl.obolibrary.org/obo/CLO_0007606	MCF7	MCF7	EFO:0001203	FALSE	FALSE	FALSE
GSE17482	DU 145|||RCB2143 cell|||22Rv1 cell	http://www.ebi.ac.uk/efo/EFO_0005441|||http://purl.obolibrary.org/obo/CLO_0051536|||http://purl.obolibrary.org/obo/CLO_0001200	DU145|||CWR22Rv1	DU145|||CWR22Rv1	EFO:0005441|||EFO:0002095	TRUE	FALSE	FALSE
GSE249362	COR-L311 cell|||NCI-H526 cell|||NCI-H1048 cell|||NCI-H211 cell	http://purl.obolibrary.org/obo/CLO_0002591|||http://purl.obolibrary.org/obo/CLO_0008096|||http://purl.obolibrary.org/obo/CLO_0007979|||http://purl.obolibrary.org/obo/CLO_0008053	NCIH211|||CORL311|||NCIH526|||NCIH1048	NCIH211|||CORL311|||NCIH526|||NCIH1048	EFO:0006659|||EFO:0006556|||EFO:0006659	FALSE	FALSE	FALSE
GSE239593	LNCaP cell|||PC-3 cell	http://purl.obolibrary.org/obo/CLO_0037116|||http://purl.obolibrary.org/obo/CLO_0008395	PC-3|||LNCaP|||BJ-5ta	PC-3|||LNCaP|||BJ-5ta	EFO:0002074|||EFO:0002071|||CLO:0001981	FALSE	FALSE	FALSE
GSE163109	LNCAP cell	http://purl.obolibrary.org/obo/CLO_0007365	LNCaP	LNCaP	EFO:0002071	FALSE	FALSE	FALSE
GSE186930	A2B5 clone 105 cell	http://purl.obolibrary.org/obo/CLO_0001574	Glioma tumor cells (GTCs)|||Glioma vascular cells (GVCs)	Glioma tumor cells (GTCs)|||Glioma vascular cells (GVCs)	CLO:0001574|||CL:0002342	TRUE	FALSE	TRUE
GSE233949	high grade glioma|||pediatric stage|||medulloblastoma	http://purl.obolibrary.org/obo/DOID_3070|||http://purl.obolibrary.org/obo/HsapDv_0000264|||http://purl.obolibrary.org/obo/MONDO_0007959	D324 (DAOY)|||D341|||D556|||D283|||D456|||X21584	D324 (DAOY)|||D341|||D556|||D283|||D456|||X21584	EFO:0005698|||EFO:0005696|||EFO:0005696|||EFO:0002156|||EFO:0022577|||EFO:0006636	FALSE	FALSE	FALSE
GSE97852	NR8383 cell	http://purl.obolibrary.org/obo/CLO_0008193	NR8383	NR8383	CL:0000583	FALSE	FALSE	FALSE
GSE12333	ES-D3 cell	http://purl.obolibrary.org/obo/CLO_0002950	D3 line	D3 line	EFO:0005910	FALSE	FALSE	FALSE
GSE197959	MDA-MB-453 cell	http://purl.obolibrary.org/obo/CLO_0007640	MDA-MB-453	MDA-MB-453	EFO:0001215	FALSE	FALSE	FALSE
GSE22038	GRANTA-519 cell	http://purl.obolibrary.org/obo/CLO_0003561	GRANTA|||NCEB|||UPN1|||JEKO1|||HBL2|||Z138|||MAVER	GRANTA|||NCEB|||UPN1|||JEKO1|||HBL2|||Z138|||MAVER	CLO:0003561|||EFO:0005387|||CLO:0037256|||EFO:0005479	TRUE	FALSE	TRUE
GSE228681	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	iPSC-NIL	iPSC-NIL	EFO:0004905	FALSE	FALSE	FALSE
GSE181961	AsPC-1 cell|||HPAF-II cell	http://purl.obolibrary.org/obo/CLO_0001756|||http://purl.obolibrary.org/obo/CLO_0003816	AsPC-1|||HPAF-II	AsPC-1|||HPAF-II	CLO:0001756|||CLO:0003816	TRUE	TRUE	TRUE
GSE56369	MEC1	http://www.ebi.ac.uk/efo/EFO_0002231	Mec-1	Mec-1	CLO:0037181	FALSE	FALSE	FALSE
GSE188698	human induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037308	BC1-GFP	GM23338	EFO:0007950	FALSE	FALSE	FALSE
GSE35932	HUV-EC-C cell	http://purl.obolibrary.org/obo/CLO_0004307	HUVEC	HUVEC	EFO:0002451	FALSE	FALSE	FALSE
GSE184715	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	hiPSC-CMs	hiPSC-CMs	CLO:0037308	FALSE	FALSE	FALSE
GSE11428	LNCaP cell	http://purl.obolibrary.org/obo/CLO_0037116	LNCaP|||abl	LNCaP|||abl	EFO:0002071	FALSE	FALSE	FALSE
GSE21912	RPMI 8226 cell	http://purl.obolibrary.org/obo/CLO_0008873	RPMI-8226	RPMI-8226	EFO:0002322	FALSE	FALSE	FALSE
GSE70263	HL-60|||NOMO-1 cell|||KG-1a cell|||K 562 cell|||OCI-AML3 cell	http://www.ebi.ac.uk/efo/EFO_0002793|||http://purl.obolibrary.org/obo/CLO_0009851|||http://purl.obolibrary.org/obo/CLO_0007095|||http://purl.obolibrary.org/obo/CLO_0007050|||http://purl.obolibrary.org/obo/CLO_0009853		HL60|||K562|||KG1a|||NOMO-1|||OCI-AML3	CLO:0006713|||CLO:0006713|||CLO:0006713|||CLO:0006713|||CLO:0006713	FALSE	FALSE	FALSE
GSE268629	HEK293T cell	http://purl.obolibrary.org/obo/CLO_0037372	HEK293T	HEK293T	CLO:0037372	TRUE	TRUE	TRUE
GSE17614	J558 cell	http://purl.obolibrary.org/obo/CLO_0007001	J558	J558	CLO:0007001	TRUE	TRUE	TRUE
GSE54611	HEK293	http://purl.obolibrary.org/obo/CLO_0001230	HEK293	HEK293	EFO:0001182	FALSE	FALSE	FALSE
GSE179452	A-375 cell	http://purl.obolibrary.org/obo/CLO_0001582	A375	A375	EFO:0002103	FALSE	FALSE	FALSE
GSE18913	HUV-EC-C cell	http://purl.obolibrary.org/obo/CLO_0004307	HUVEC	HUVEC	EFO:0002451	FALSE	FALSE	FALSE
GSE16564	AtT20 cell	http://purl.obolibrary.org/obo/CLO_0001765	AtT20	AtT20	EFO:0022777	FALSE	FALSE	FALSE
GSE64757	3T3-L1 cell	http://purl.obolibrary.org/obo/CLO_0001352	3T3-L1	3T3-L1	EFO:0001084	FALSE	FALSE	FALSE
GSE57979	HT-29 cell|||WiDr cell	http://purl.obolibrary.org/obo/CLO_0004283|||http://purl.obolibrary.org/obo/CLO_0009600	HT29|||WiDr	HT29|||WiDr	EFO:0001193|||CLO:0009600	TRUE	FALSE	FALSE
GSE27329	C3H/10T1/2, Clone 8 cell	http://purl.obolibrary.org/obo/CLO_0002120	10T1/2 fibroblast	C3H/10T1/2, Clone 8 cell	CLO:0002120	TRUE	TRUE	TRUE
GSE123638	T-47D cell	http://purl.obolibrary.org/obo/CLO_0009251	T47D	T-47D cell	EFO:0001247	FALSE	FALSE	FALSE
GSE128683	FRT-U10 cell|||IGROV-1 cell	http://purl.obolibrary.org/obo/CLO_0003397|||http://purl.obolibrary.org/obo/CLO_0006672	HepG2A|||HepG2B|||HepG2S1|||HepG2S3A|||HepG2S3B|||PancVB|||PancB1Q|||PancB1V|||HCC4006P1_A|||HCC4006ER_A|||HCC4006ER_B|||HCC4006GR|||HCC827GR|||U10|||U100|||IGROV-1|||IGROV-1 / CDDP	HepG2A|||HepG2B|||HepG2S1|||HepG2S3A|||HepG2S3B|||PancVB|||PancB1Q|||PancB1V|||HCC4006P1_A|||HCC4006ER_A|||HCC4006ER_B|||HCC4006GR|||HCC827GR|||U10|||U100|||IGROV-1|||IGROV-1 / CDDP	EFO:0001187|||EFO:0001187|||EFO:0001187|||EFO:0001187|||EFO:0001187|||EFO:0006468|||EFO:0006468|||EFO:0006468|||CLO:0003657|||CLO:0003657|||CLO:0003657|||CLO:0003657|||EFO:0003137|||EFO:0006362|||EFO:0006362|||CLO:0006672|||CLO:0006672	TRUE	FALSE	FALSE
GSE139133	D3 cell	http://purl.obolibrary.org/obo/CLO_0002675	hCMEC/D3	hCMEC/D3	EFO:0005383	FALSE	FALSE	FALSE
GSE53001	CT26.WT cell|||CT26.CL25 cell	http://purl.obolibrary.org/obo/CLO_0002631|||http://purl.obolibrary.org/obo/CLO_0002630	CT26WT|||CT26LacZ	CT26WT|||CT26LacZ	CLO:0002631|||CLO:0050753	TRUE	FALSE	FALSE
GSE222493	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	OVCAR3	OVCAR3	EFO:0003061	TRUE	TRUE	TRUE
GSE171566	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	E3381-1|||E3361-1|||3391B	E3381-1|||E3361-1|||3391B		FALSE	FALSE	FALSE
